"","dataset","ptb_rate","E_guided","E_none"
"1","BlogCatalog",0.1,0.195732740319307,0.13977787060922
"2","BlogCatalog",0.25,0.385883284219702,0.228476438853414
"3","BlogCatalog",0.5,0.511675516845701,0.081903573735459
"4","citeseer",0.1,0.450289628137321,0.134983559034554
"5","citeseer",0.25,0.633356328127136,0.0552012684243097
"6","citeseer",0.5,0.667868196466236,0.149470863826065
"7","cora",0.1,0.440861950469184,0.42312754119872
"8","cora",0.25,0.588490788563031,0.649358217747315
"9","cora",0.5,0.681143085096241,0.663418631293991
"10","flickr",0.1,0.487847073155072,0.0103909026331873
"11","flickr",0.25,0.618889719279289,-0.295679561695818
"12","flickr",0.5,0.675067478620955,-0.354151227762239
"13","Polblogs",0.1,0.128589969735204,0.468092220242254
"14","Polblogs",0.25,0.344019600710652,0.491067222666272
"15","Polblogs",0.5,0.438263314853082,0.472705022727158
